,cavity_after,
Wavenumbers [1/cm],Transmittance,
5348.365,0.1876214,
5346.436,0.1888876,
5344.508,0.1900639,
5342.579,0.1912158,
5340.650,0.1920053,
5338.722,0.1924348,
5336.793,0.1929598,
5334.864,0.193504,
5332.935,0.1936257,
5331.007,0.193284,
5329.078,0.1927102,
5327.149,0.192139,
5325.220,0.1916152,
5323.292,0.1909387,
5321.363,0.1899656,
5319.434,0.1886804,
5317.506,0.1871777,
5315.577,0.1856049,
5313.648,0.1839232,
5311.719,0.1820254,
5309.791,0.1799372,
5307.862,0.1777302,
5305.933,0.1754921,
5304.004,0.1732729,
5302.076,0.1709977,
5300.147,0.1686044,
5298.218,0.1661126,
5296.290,0.163545,
5294.361,0.160894,
5292.432,0.1581307,
5290.503,0.1553494,
5288.575,0.1526529,
5286.646,0.1499406,
5284.717,0.1471726,
5282.788,0.1444641,
5280.860,0.1418619,
5278.931,0.139275,
5277.002,0.1365657,
